IDE-name,Date,,,,,,,,,,,,,,,,,
12-2-m,7/21/2022,,,,,,,,,,,,,,,,,
12-2-s,7/21/2022,,,,,,,,,,,,,,,,,
12-4-m,7/21/2022,,,,,,,,,,,,,,,,,
12-4-s,7/21/2022,,,,,,,,,,,,,,,,,
12-16-m,7/21/2022,,,,,,,,,,,,,,,,,
12-16-s,7/21/2022,,,,,,,,,,,,,,,,,
14-2-m,,,,,,,,,,,,,,,,,,
14-2-s,,,,,,,,,,,,,,,,,,
14-4-m,,,,,,,,,,,,,,,,,,
14-4-s,,,,,,,,,,,,,,,,,,
14-8-m,,,,,,,,,,,,,,,,,,
14-8-s,,,,,,,,,,,,,,,,,,
14-16-m,dry,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,,,,,,,
14-16-s,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,,,,,,,,
20-4-m,7/21/2022,,,,,,,,,,,,,,,,,
20-4-s,7/21/2022,,,,,,,,,,,,,,,,,
20-8-m,7/21/2022,,,,,,,,,,,,,,,,,
20-8-s,7/21/2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
12-8-m,dry,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/22/2022,6/27/2022,6/30/2022
12-8-s,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/22/2022,6/27/2022,6/30/2022,
16-2-m,dry,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022
16-2-s,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,
16-4-m,dry,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022
16-4-s,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,
16-8-m,dry,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022
16-8-s,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,
16-16-m,dry,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022
16-16-s,5/23/2022,5/24/2022,5/25/2022,5/26/2022,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,
20-2-m,dry,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,,,,
20-2-s,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,,,,,
20-16-m,dry,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,,,,
20-16-s,5/27/2022,5/28/2022,5/29/2022,5/31/2022,6/2/2022,6/4/2022,6/6/2022,6/9/2022,6/13/2022,6/16/2022,6/21/2022,6/27/2022,6/30/2022,,,,,
